"Rest ID","Venue","Region","Suburb","Postcode","Start Balance","Change","Current (11/04/26)","Portfolio Start Date","AM Name"
"4076E24F-26C6-4256-8A45-DB6815465815","The Ballpark Portside","Brisbane","Outer Brisbane","4007","935","0.00","935","1/04/26","Pippa Keddie"
"E2F9AD2F-BFD6-4AA0-B13D-0143475D4A84","Grove Social","Brisbane","Northgate","4060","935","0.00","935","1/04/26","Matthew Behan"
"FB8BB827-1740-4633-A030-0CF3F58353DA","9 Meal Cafe And Nepalese Restaurant","Melbourne","Brunswick","3058","935","0.00","935","1/04/26","Cameron Landis"
"CD6689AF-DCC7-4373-A18A-03754229610A","Bombay Bliss - Deception Bay","Brisbane","Deception Bay","4508","935","0.00","935","1/04/26","Jessie Helyar"
"30E9DF60-4FE8-47C3-8305-FB725489DD93","Bombay Bliss - Morayfield","Brisbane","Morayfield","4506","935","0.00","935","1/04/26","Jessie Helyar"
"C3CDA229-EF32-4258-9923-E5BDB44C4F0D","Bam Bams Fried Chicken & Burgers","Melbourne","Brunswick","3073","935","0.00","935","1/04/26","Cameron Landis"
"4F9DEE17-BA34-41E8-9F9B-0F9089870042","Vegan! Thai- Riffic at North Lakes","Brisbane","Moreton","4509","935","0.00","935","1/04/26","Jessie Helyar"
"6EB84634-9E97-4A4D-BAA6-69D5F9FD5D4A","Thai Ginger  Restaurant","Brisbane","Moreton","4509","935","0.00","935","1/04/26","Jessie Helyar"
"E1C1BF13-7B79-4FA9-A00B-062FA1A05AE0","Newmarket Hotel - Port Adelaide","Adelaide","Northern Suburbs","5015","935","0.00","935","12/04/26","Elodie Fitzsimmons"
"21DD5B1C-B190-4323-83BE-348A0BCC19C7","Cupbop - Simple Korean Street Food ","Brisbane","Kallangur","4503","916.25","0.00","916.25","27/04/26","Aaron Pantazis"
"A139C910-0ADC-4333-95B0-F26C4CE4CE88","Luca & Luca","Sydney","Bondi","2026","864.25","0.00","864.25","1/04/26","Brianna Quinn"
"DD96ACC0-DDD8-4451-9FDC-E8E35D791A9A","Akiras Cafe & Restaurant","Perth","Victoria Park","6151","825","0.00","825","1/04/26","Jai Richards"
"8DD9A8CC-69C8-424C-AEB1-42CB70D79D32","Maximoon","Melbourne","Essendon","3039","807.5","0.00","807.5","1/04/26","Tom Mcgay"
"A13EDD02-8CEC-4C24-B8B1-44C7B8A932D8","4 Mates Bar & Grill - Mt Lawley","Perth","North Perth","6050","795","0.00","795","1/04/26","Jai Richards"
"11DC1A88-D828-4BFB-90D1-3DDB640825D5","The Frankston Curry Club","Melbourne","Frankston","3199","795","0.00","795","1/04/26","Aaron Pantazis"
"B55A93CB-9242-4871-BBA6-848449F373CE","Red Spice","Brisbane","Redcliffe","4020","768.75","0.00","768.75","27/04/26","Jessie Helyar"
"3C8D4908-F72C-4ADE-BB96-7ECFB21AD52E","Shizuku Ramen","Melbourne","Fitzroy","3067","562.5","201.25","763.75","1/04/26","Tom Mcgay"
"0D97765B-B11F-4BB6-8ED7-481B393A5559","Tran Tran Restaurant","Melbourne","Richmond","3121","743.75","0.00","743.75","1/04/26","Jay Franklin"
"783F950F-5557-19B9-FFC5-09F02707CE00","Spice Hub Indian and Pakistani Cuisine","Sydney","Darlinghurst","2010","728.75","0.00","728.75","1/04/26","Jordan Wellard"
"ABF221A9-396E-471A-9187-855E50774FE7","Le Feu Signature - Frankston GF","Melbourne","Frankston","3199","716.25","0.00","716.25","1/04/26","Tania Marinopoulos"
